name,source,gender,wikidata,type
Bonstettenstrasse,wikidata,,Q892874,way
Bundesbahnweg,wikidata,,Q83835,way
Bürenstrasse,wikidata,,Q14548776,way
Daxelhoferstrasse,wikidata,,Q1156777,way
Diesbachstrasse,wikidata,,Q1221347,way
Dittlingerweg,wikidata,,Q13573667,way
Effingerstrasse,wikidata,,Q1296211,relation
Europaplatz,wikidata,,Q8908,relation
Fischerweg,wikidata,,Q1419966,way
Graffenriedweg,wikidata,,Q1541529,way
Greyerzstrasse,wikidata,,Q20012495,way
Gruberstrasse,wikidata,,Q106676396,way
Hauensteinweg,wikidata,,Q353948,way
"Insula Dulcamara",wikidata,,Q85769566,way
Kramburgstrasse,wikidata,,Q96322307,way
Lombachweg,wikidata,,Q15621703,way
Luternauweg,wikidata,,Q1551898,way
Mayweg,wikidata,,Q1914347,way
"Monument im Fruchtland",wikidata,,Q106755347,way
Morellweg,wikidata,,Q18324361,way
Mutachstrasse,wikidata,,Q99365079,way
Rickenweg,wikidata,,Q1454021,way
Sinnerstrasse,wikidata,,Q2289463,way
Stettlerstrasse,wikidata,,Q2346347,way
Stürlerstrasse,wikidata,,Q1485431,way
Thormannstrasse,wikidata,,Q24037842,way
Tscharnerstrasse,wikidata,,Q2457483,way
Von-Werdt-Passage,wikidata,,Q2560172,way
Wagnerstrasse,wikidata,,Q18029347,way
Wendschatzstrasse,wikidata,,Q16321137,way
Werdtweg,wikidata,,Q2560172,way
Wyttenbachstrasse,wikidata,,Q2595876,way
Zeerlederstrasse,wikidata,,Q184406,way
Aarbergergasse,,,,way
Aarbergerhof,,,,way
Aarbühlstrasse,,,,way
Aargauerstalden,,,,relation
Aarhaldenstrasse,,,,way
Aarstrasse,,,,way
Aarweg,,,,way
Abendstrasse,,,,way
Aebistrasse,,,,way
Aegertenstrasse,,,,way
Aehrenweg,,,,way
Ahornweg,,,,way
Alemannenstrasse,,,,relation
Alleeweg,,,,way
Allmendstrasse,,,,way
Alpeneggstrasse,,,,relation
Alpenstrasse,,,,way
Altenbergrain,,,,way
Altenbergsteg,,,,way
Altenbergstrasse,,,,way
"Alter Aargauerstalden",,,,relation
"Alter Stationsweg",,,,way
Amselweg,,,,way
Amthausgässchen,,,,way
Amthausgasse,,,,way
Anemonenweg,,,,relation
Ankerstrasse,,,,relation
Antoniergässchen,,,,way
Archivstrasse,,,,way
Armandweg,,,,way
Asterweg,,,,way
Asylweg,,,,way
"BSM 13G",,,,way
Bäckereiweg,,,,way
Badgasse,,,,way
Bahnhofplatz,,,,way
"Bahnhofplatz Bümpliz Süd",,,,way
Bahnhöheweg,,,,relation
Bahnstrasse,,,,way
Balderstrasse,,,,way
Balmweg,,,,way
Balthasarstrasse,,,,way
Bananenbrücke,,,,way
Bankgässchen,,,,way
Bantigerstrasse,,,,relation
Bantigerweg,,,,relation
Bärenplatz,,,,relation
Baumgartenstrasse,,,,relation
Beatusstrasse,,,,way
Beaulieurain,,,,way
Beaulieustrasse,,,,way
Beaumontweg,,,,way
Belpstrasse,,,,way
Benteliweg,,,,relation
Bernastrasse,,,,way
Bernstrasse,,,,relation
Bethlehemstrasse,,,,way
Beundenfeldstrasse,,,,way
Bibliotheksgässchen,,,,way
Bienenstrasse,,,,way
Bierhübeliweg,,,,way
Billeweg,,,,relation
"Bim Zytglogge",,,,way
Birkenweg,,,,relation
Bitziusstrasse,,,,relation
Blockweg,,,,way
Blumenbergstrasse,,,,way
Blumensteinstrasse,,,,way
Blumenweg,,,,way
Bogenschützenstrasse,,,,way
Bolligenstrasse,,,,relation
Bollwerk,,,,way
Bomontiweg,,,,way
Bottigenstrasse,,,,relation
Breitenrainplatz,,,,way
Breitenrainstrasse,,,,way
Breiteweg,,,,relation
Breitfeldstrasse,,,,way
Bremgartenstrasse,,,,way
Brückenstrasse,,,,relation
Brückfeldstrasse,,,,way
Brüggbodenstrasse,,,,way
Brügglerweg,,,,relation
Brünigweg,,,,way
Brünnackerstrasse,,,,relation
Brunnadernrain,,,,way
Brunnadernstrasse,,,,way
Brünnen,,,,way
Brünnenstrasse,,,,relation
Brunngasse,,,,relation
Brunngasshalde,,,,way
Brunnhofweg,,,,way
Brunnmattstrasse,,,,relation
Bubenbergrain,,,,way
Buchdruckerweg,,,,relation
Buchenweg,,,,way
Buchfeldweg,,,,way
Buchseeweg,,,,relation
Buchweg,,,,relation
Bühlplatz,,,,way
